"stage","purpose","blocking_or_informational","artifacts_or_outputs","failure_action"
"checkout","Fetch repository contents","Blocking","Workspace","Workflow stops if checkout fails"
"setup-node-go","Prepare runtimes","Blocking","Node and Go toolchains","Workflow stops if setup fails"
"install-dependencies","Install frontend and QA packages","Blocking","node_modules and frontend dependencies","Workflow stops if install fails"
"install-playwright","Install browser runtime","Blocking","Chromium browser","Workflow stops if browser install fails"
"prepare-env","Create .env.qa from template","Blocking",".env.qa","Workflow stops if env preparation fails"
"frontend-lint","Static validation","Blocking","Lint output","Workflow fails"
"backend-go-tests","Existing backend baseline signal","Informational","Go test console output","Marked continue-on-error"
"smoke-suite","Fast confidence check","Blocking","logs/smoke-report.json","Workflow fails"
"critical-suite","Release-critical flow validation","Blocking","logs/critical-report.json","Workflow fails"
"regression-suite","Broader Assignment 2 coverage","Blocking","logs/regression-report.json","Workflow fails"
"metrics-generation","Create CSV, JSON, SVG artifacts","Blocking","logs summary, qa-docs tables, evidence charts","Workflow fails"
"quality-gates","Evaluate threshold rules","Blocking","logs/quality-gates-summary.json","Workflow fails"
"artifact-upload","Preserve evidence","Informational","playwright-report, test-results, logs, charts, tables","Runs with if always"
