"module_feature","high_risk_function","test_priority","expected_outcome","coverage_layer"
"Authentication and authorization","Valid login","P1","Known QA-safe user authenticates and lands on storefront","UI"
"Authentication and authorization","Invalid login","P1","Wrong credentials are rejected with visible error","UI and API"
"Authentication and authorization","Protected route behavior","P1","Anonymous user is redirected from protected pages","UI"
"Authentication and authorization","Admin route protection","P1","Customer is redirected away from admin page","UI"
"Product catalog and listing","Catalog rendering","P1","Catalog loads product list and metadata","UI and API"
"Product catalog and listing","Search and product detail entry","P1","Search narrows list and detail page opens","UI"
"Cart management","Add item to cart","P1","Authenticated user adds product to cart","UI"
"Cart management","Update quantity and clear cart","P1","User changes quantity and can empty cart","UI"
"Checkout and payment initiation","Address validation before checkout","P1","Payment-link action stays blocked without address","UI"
"Checkout and payment initiation","Payment-link creation","P1","Valid cart and address produce QA-safe payment link","UI"
"Order lifecycle","Order list visibility","P1","Customer sees order list and details","UI"
"Order lifecycle","Order cancellation","P1","Customer cancels pending order","UI"
"API baseline","Protected/public endpoint validation","P2","Catalog returns 200 and protected cart rejects anonymous access","API"
