"script_id","module_feature","automation_framework","script_name_location","status","comments"
"A2-SCR-001","Authentication and authorization","Playwright UI","tests/e2e/auth/login.critical.spec.ts","Implemented","Valid and invalid login covered"
"A2-SCR-002","Authentication and authorization","Playwright UI","tests/e2e/auth/authorization.critical.spec.ts","Implemented","Protected route and admin-route checks"
"A2-SCR-003","Product catalog and listing","Playwright UI","tests/e2e/catalog/catalog.critical.spec.ts","Implemented","Catalog render, search, detail entry"
"A2-SCR-004","Cart management","Playwright UI","tests/e2e/cart/cart.critical.spec.ts","Implemented","Add, increase quantity, clear"
"A2-SCR-005","Checkout and payment initiation","Playwright UI","tests/e2e/checkout/checkout.critical.spec.ts","Implemented","Address validation and payment-link creation"
"A2-SCR-006","Order lifecycle","Playwright UI","tests/e2e/orders/orders.critical.spec.ts","Implemented","Order visibility and cancellation"
"A2-SCR-007","API baseline","Playwright API","tests/api/auth/auth.live.spec.ts","Implemented","Runs when backend stack is available"
"A2-SCR-008","API baseline","Playwright API","tests/api/catalog/catalog.live.spec.ts","Implemented","Public endpoint validation"
"A2-SCR-009","API baseline","Playwright API","tests/api/cart/cart.live.spec.ts","Implemented","Anonymous protected-endpoint check"
"A2-SCR-010","Reusable helpers","Playwright helper","tests/helpers/mock-backend.ts","Implemented","Stateful QA-safe API mocking"
"A2-SCR-011","Reusable helpers","Playwright helper","tests/helpers/session.ts","Implemented","Auth session seeding"
"A2-SCR-012","Metrics and evidence","Node.js","scripts/generate-assignment2-artifacts.mjs","Implemented","CSV and SVG artifact generation"
"A2-SCR-013","Quality gates","Node.js","scripts/check-quality-gates.mjs","Implemented","Blocking CI quality-gate evaluation"
