"evidence_id","module_feature","type","description","file_location_link"
"EV-A2-001","Cross-module","Log","Smoke suite JSON execution report","logs/smoke-report.json"
"EV-A2-002","Cross-module","Log","Critical suite JSON execution report","logs/critical-report.json"
"EV-A2-003","Cross-module","Log","Regression suite JSON execution report","logs/regression-report.json"
"EV-A2-004","Cross-module","Log","Quality-gate summary","logs/quality-gates-summary.json"
"EV-A2-005","Cross-module","Report","Metrics summary JSON","logs/assignment2-metrics-summary.json"
"EV-A2-006","Cross-module","Report","Automation coverage table","qa-docs/tables/automation-coverage.csv"
"EV-A2-007","Cross-module","Report","Execution-time table","qa-docs/tables/execution-time.csv"
"EV-A2-008","Cross-module","Report","Defects-versus-risk table","qa-docs/tables/defects-vs-risk.csv"
"EV-A2-009","Cross-module","Report","Detailed test execution log","qa-docs/tables/test-execution-log.csv"
"EV-A2-010","Cross-module","Chart","Automation coverage SVG chart","evidence/charts/automation-coverage.svg"
"EV-A2-011","Cross-module","Chart","Execution-time SVG chart","evidence/charts/execution-time.svg"
"EV-A2-012","Cross-module","Chart","Defects-versus-risk SVG chart","evidence/charts/defects-vs-risk.svg"
"EV-A2-013","CI/CD","Code","Assignment 2 GitHub Actions workflow",".github/workflows/qa-assignment2.yml"
"EV-A2-014","Automation framework","Code","Reusable mock backend helper","tests/helpers/mock-backend.ts"
"EV-A2-015","Automation framework","Code","Metrics generation script","scripts/generate-assignment2-artifacts.mjs"
